sex,age_class,equipment,weight_class,lift,record_kg,athlete,meet,date_iso,notes
M,AK3,Raw,83,Deadlift,185,REISS Johannes,"Europameisterschaft AK 1-4 KDK Györ, Ungarn",2019-03-10,
M,AK4,Raw,83,Deadlift,152.5,WINKLER Matthias,"Salzburger Meisterschaft KDK Grödig, S",2022-05-15,
M,Open,Raw,93,Deadlift,325.5,PRÜCKLER Benjamin,"Österr. Meisterschaft Nachwuchs KDK Scharnstein, Oö",2025-06-21,
M,Jugend,Raw,93,Deadlift,300,JAHN Oliwier,"Steirische Meisterschaft KDK Feldkirchen, St",2025-03-23,
M,Junioren,Raw,93,Deadlift,325.5,PRÜCKLER Benjamin,"Österr. Meisterschaft Nachwuchs KDK Scharnstein, Oö",2025-06-21,
M,AK1,Raw,93,Deadlift,290,MUSIL Michael,"Europameisterschaft Masters KDK Pilsen, Tschechien",2021-07-13,
M,AK2,Raw,93,Deadlift,290,MUSIL Michael,"Europameisterschaft Masters KDK Pilsen, Tschechien",2021-07-13,
M,AK3,Raw,93,Deadlift,210,SOLANAKIS Dimitrios,"Österr. Meisterschaft Masters KDK Scharnstein, Oö",2025-06-21,
M,AK4,Raw,93,Deadlift,170,WAGENLEITNER Günther,"Österr. Meisterschaft Allg KDK Stockerau, Nö",2013-05-18,
M,Open,Raw,105,Deadlift,345,DEMIR Hamza,"Österr. Meisterschaft Jug KDK Frauenkirchen, B",2023-06-25,
M,Jugend,Raw,105,Deadlift,345,DEMIR Hamza,"Österr. Meisterschaft Jug KDK Frauenkirchen, B",2023-06-25,
M,Junioren,Raw,105,Deadlift,345,DEMIR Hamza,"Österr. Meisterschaft Jug KDK Frauenkirchen, B",2023-06-25,
M,AK1,Raw,105,Deadlift,300,RUBIN Drasko,"Österr. Meisterschaft Masters KDK Amstetten, Nö",2026-06-07,
M,AK2,Raw,105,Deadlift,250,HUEMER Franz,"Österr. Meisterschaft Allg KDK Stockerau, Nö",2013-05-18,
M,AK3,Raw,105,Deadlift,243,JOHANN Reinhold,"Österr. Meisterschaft Masters KDK Amstetten, Nö",2026-06-07,
M,AK4,Raw,105,Deadlift,140,WAGENLEITNER Günther,"Niederösterr. Meisterschaft KDK Amstetten, Nö",2022-03-20,
M,Open,Raw,120,Deadlift,347.5,LEITNER Michael,"Staatsmeisterschaft Allg KDK Wien, W",2024-09-15,
M,Jugend,Raw,120,Deadlift,275.5,SARIOGLU Emirhan,Österr. Meisterschaft Nachwuchs KDK Wien-Stadt,2024-06-29,
M,Junioren,Raw,120,Deadlift,320,GEBESMAIR Jan,"Staatsmeisterschaft Allg KDK Haid, Oö",2018-10-28,
M,AK1,Raw,120,Deadlift,300,LEBERWURST Franz,"Austria Classic Cup Allg KDK Stockerau, Nö",2012-03-17,
M,AK2,Raw,120,Deadlift,245,KASPAREK Gernot,"Steirische Meisterschaft KDK Feldkirchen, St",2025-03-23,
M,AK3,Raw,120,Deadlift,210,HUEMER Franz,"Salzburger Meisterschaft KDK Villach, K",2025-04-26,
M,AK4,Raw,120,Deadlift,,,,,Rekord offen
M,Open,Raw,120+,Deadlift,355.5,RENNER Alexander,"Burgenländische Meisterschaft KDK Frauenkirchen, B",2024-04-27,
M,Jugend,Raw,120+,Deadlift,275,NIKOLIC Philip,"Europameisterschaft Allg KDK Skierniewice, Polen",2022-12-04,
M,Junioren,Raw,120+,Deadlift,340,RENNER Alexander,"Staatsmeisterschaft Allg KDK Amstetten, Nö",2021-09-04,
M,AK1,Raw,120+,Deadlift,280,GRABNER Markus,Staatsmeisterschaft Allg KDK Wien-Stadt,2017-12-17,
M,AK2,Raw,120+,Deadlift,260,KERSCHBAUMER Bernd,"Weltmeisterschaft AK 1-4 KDK Minsk, Weißrussland",2017-06-25,
M,AK3,Raw,120+,Deadlift,170,HABERFELLNER Günter,"Österr. Meisterschaft Masters KDK Frauenkirchen, B",2023-06-25,
M,AK4,Raw,120+,Deadlift,,,,,Rekord offen
M,Jugend,Raw,53,Total,,,,,Rekord offen
M,Junioren,Raw,53,Total,,,,,Rekord offen
M,Open,Raw,59,Total,490,SAVUT Panha Vong,"Österr. Meisterschaft Nachwuchs KDK Amstetten, Nö",2026-06-07,
M,Jugend,Raw,59,Total,372.5,BINDER Markus,"Österr. Meisterschaft Allg KDK Haid, Oö",2015-12-12,
M,Junioren,Raw,59,Total,490,SAVUT Panha Vong,"Österr. Meisterschaft Nachwuchs KDK Amstetten, Nö",2026-06-07,
M,AK1,Raw,59,Total,435,REITINGER Christof,"Österr. Meisterschaft AK KDK Mayrwies, S",2021-07-25,
M,AK2,Raw,59,Total,245,"FENZL Josef, sen.","3. RAW-Meisterschaft Allg KDK Stockerau, Nö",2011-06-05,
M,AK3,Raw,59,Total,185,"FENZL Josef, II","Staatsmeisterschaft Allg KDK Amstetten, Nö",2021-09-05,
M,AK4,Raw,59,Total,,,,,Rekord offen
M,Open,Raw,66,Total,660,CATENA Joel,Staatsmeisterschaft Allg KDK Wien-Stadt,2025-09-07,
M,Jugend,Raw,66,Total,500.5,WITTMANN Maxim,"Niederösterr. Meisterschaft KDK Amstetten, Nö",2025-05-04,
M,Junioren,Raw,66,Total,545.5,GLIEBE Nikolas,"Staatsmeisterschaft Allg KDK Freistadt, Oö",2019-09-21,
M,AK1,Raw,66,Total,505,WENKA Christian,"Europameisterschaft AK 1-4 KDK Albi, Frankreich",2020-03-13,
M,AK2,Raw,66,Total,397.5,STADLHOFER Ewald,"Landesmeisterschaft St KDK Ottendorf, St",2020-08-22,
M,AK3,Raw,66,Total,202.5,"FENZL Josef, II",Österr. Meisterschaft Nachwuchs KDK Wien-Stadt,2024-06-29,
M,AK4,Raw,66,Total,,,,,Rekord offen
M,Open,Raw,74,Total,672.5,JOCH Pascal,"Wiener Meisterschaft Allgeimein KDK Stockerau, Nö",2026-04-18,
M,Jugend,Raw,74,Total,585,SCHIPEK Liuming,"Staatsmeisterschaft Allg KDK Amstetten, Nö",2023-09-10,
M,Junioren,Raw,74,Total,615,BALAZS Adrian,"Staatsmeisterschaft Allg KDK Wien, W",2024-09-15,
M,AK1,Raw,74,Total,570,SCHOBER Johannes,"Weltmeisterschaft AK 1-4 KDK Cape Town, Südafrika",2025-10-19,
M,AK2,Raw,74,Total,512.5,MÖTH Helmut,"Wiener Meisterschaft KDK Stockerau, Nö",2024-05-05,
M,AK3,Raw,74,Total,410,MAYER Gerhard,"Wiener Meisterschaft KDK Stockerau, Nö",2023-04-23,
M,AK4,Raw,74,Total,339,STROHOFER Werner,"Staatsmeisterschaft Allg KDK Amstetten, Nö",2021-09-05,
M,Open,Raw,83,Total,745,SCHNELL Raffael,"Europameisterschaft Nachwuchs KDK Druskininkai, Litauen",2025-12-07,
M,Jugend,Raw,83,Total,677.5,ZHOU Emilio,"Staatsmeisterschaft Allg KDK Amstetten, Nö",2023-09-10,
M,Junioren,Raw,83,Total,745,SCHNELL Raffael,"Europameisterschaft Nachwuchs KDK Druskininkai, Litauen",2025-12-07,
M,AK1,Raw,83,Total,617.5,KEPPLER Matthias,"Europameisterschaft Masters KDK Pilsen, Tschechien",2021-07-13,
M,AK2,Raw,83,Total,585,WEGERER Michael,"Österr. Meisterschaft Masters KDK Amstetten, Nö",2026-06-07,
M,AK3,Raw,83,Total,442.5,REISS Johannes,"Europameisterschaft AK 1-4 KDK Györ, Ungarn",2019-03-10,
M,AK4,Raw,83,Total,345,WINKLER Matthias,"Salzburger Meisterschaft KDK Grödig, S",2022-05-15,
M,Open,Raw,93,Total,800.5,HOFER René,Staatsmeisterschaft Allg KDK Wien-Stadt,2025-09-07,
